city,campaign_identity_sha256,replicas,transport_topology,campaign_components,raw_all_specular_transfer_m_inv2,raw_first_diffuse_transfer_m_inv2,standpoint,x_m,y_m,z_m,route_distance_m,raw_total_transfer_m_inv2,raw_direct_transfer_m_inv2,multipath_surplus_db,peak_sab_ensemble_field,peak_sab_mean_per_replica,mean_sab,absorbed_power,wbsar
Tokyo Hachiko,ce225150f9618a8aa95a845209d3d39d12faccdfa9b6ff5f456ba9d79b1f6c19,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",3.5146947892684095e-05,8.388987443404672e-07,2,18.22562483643356,2.805545519167603,52.82302397896522,,0.00019063415220745223,0.00015464830557042754,0.9085554140821372,0.6969707003820533,0.6969707003820533,0.3760690103892526,0.7041884471243598,0.009726359766911049
Tokyo Hachiko,ce225150f9618a8aa95a845209d3d39d12faccdfa9b6ff5f456ba9d79b1f6c19,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",3.201473490492009e-05,8.360378881290782e-07,3,12.265568848364827,3.4967275639908424,52.907953161587635,,0.00018260853678133277,0.00014975776398828343,0.8613172948715404,0.662812186295122,0.662812186295122,0.3617405596746816,0.6773584526827865,0.009355779733187656
Tokyo Hachiko,ce225150f9618a8aa95a845209d3d39d12faccdfa9b6ff5f456ba9d79b1f6c19,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",3.1365671161553575e-05,7.950096971391499e-07,4,6.30418479830085,4.175800574589091,52.906700804377635,,0.00018510284237506464,0.0001529421615163718,0.8288586394253936,0.6973088677492832,0.6973088677492832,0.36202989930598145,0.6779002405462577,0.009363262990970414
Tokyo Hachiko,ce225150f9618a8aa95a845209d3d39d12faccdfa9b6ff5f456ba9d79b1f6c19,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",3.44976438055099e-05,8.7452928271019e-07,5,0.33599852435495947,4.792852111726705,52.90563210891571,,0.00018555521781849553,0.00015018304473027514,0.9185226649698252,0.6930653831937931,0.6930653831937931,0.3626516573858203,0.679064481269724,0.009379343663946464
Tokyo Hachiko,ce225150f9618a8aa95a845209d3d39d12faccdfa9b6ff5f456ba9d79b1f6c19,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",2.7409074502247892e-05,9.362438347931694e-07,6,-4.211533519740932,2.690330784561792,52.93872014477626,,0.00017459734663965637,0.00014625202830261512,0.7693574160745456,0.6804642752016136,0.6804642752016136,0.3436540152346605,0.6434914354832538,0.00888800325253113
Tokyo Hachiko,ce225150f9618a8aa95a845209d3d39d12faccdfa9b6ff5f456ba9d79b1f6c19,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",3.103939913025083e-05,1.0733042018826336e-06,7,-7.114316706805153,-2.560750034555096,52.864754914151355,,0.00019579890508708076,0.00016368620175494746,0.777981876257588,0.7538704934372543,0.7538704934372543,0.38889128482788515,0.7281981295924717,0.010057985215365628
Tokyo Hachiko,ce225150f9618a8aa95a845209d3d39d12faccdfa9b6ff5f456ba9d79b1f6c19,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",4.855193632745041e-05,1.2879817839646258e-06,8,-10.091232808200061,-7.76945493175973,52.82951763509412,,0.00022602241606764349,0.00017618249795622862,1.0818874978304276,0.929081408944185,0.9290815957798527,0.43972221381604304,0.8233789393938701,0.01137263728444572
Tokyo Hachiko,ce225150f9618a8aa95a845209d3d39d12faccdfa9b6ff5f456ba9d79b1f6c19,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",3.377765581156465e-05,1.7238006272905249e-06,9,-13.14301804172888,-12.935363069581719,52.775327541469224,,0.0002044602682432721,0.00016895881180441723,0.8282807952781268,0.8465098380012803,0.8465098380012803,0.3948987040729999,0.739447009751631,0.010213356488282192
Tokyo Hachiko,ce225150f9618a8aa95a845209d3d39d12faccdfa9b6ff5f456ba9d79b1f6c19,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",0.00016109324519402598,7.24637278739818e-06,10,-16.010929557475794,-18.205030132842573,53.389969699937545,,0.0005158534835339264,0.000347513865552502,1.7155423034917097,3.1926530190388176,3.1926546613671105,1.1587457612273921,2.1697490504896195,0.029968909537149452
Tokyo Hachiko,ce225150f9618a8aa95a845209d3d39d12faccdfa9b6ff5f456ba9d79b1f6c19,64,first_material_interaction_v1,"direct,all_specular,first_diffuse,total",1.575077777036289e-05,4.595338855088189e-05,11,-18.62813443263437,-23.586875222105103,52.845712636700306,,0.0029063273351736993,0.0028446231688524525,0.09319783682234106,20.328941631818267,20.328941631818267,4.1205986021710235,7.715812392736704,0.10657199437481625
