country,study_area,scenario,sample_count,mean_mw_m2,median_mw_m2,q1_mw_m2,q3_mw_m2,p95_mw_m2,reported_median_iqr,availability_note,available
Hungary,LC,DL,2205,4.32,2.30,0.83,5.37,15.16,2.30 (0.83-5.37),,true
Hungary,LC,UL,1847,7.31,4.92,2.27,9.76,21.44,4.92 (2.27-9.76),,true
Hungary,SC,NU,3317,0.67,0.22,0.06,0.72,2.77,0.22 (0.06-0.72),,true
Hungary,SC,DL,2094,2.16,1.03,0.51,2.32,7.95,1.03 (0.51-2.32),,true
Hungary,SC,UL,1732,9.73,3.37,1.67,8.84,41.45,3.37 (1.67-8.84),,true
Hungary,RA,NU,2935,0.19,0.04,0.02,0.12,0.76,0.04 (0.02-0.12),,true
Hungary,RA,DL,2228,1.35,0.54,0.29,1.28,5.21,0.54 (0.29-1.28),,true
Hungary,RA,UL,2278,11.57,6.19,1.41,16.51,41.43,6.19 (1.41-16.51),,true
Italy,LC,NU,4220,0.82,0.37,0.17,0.80,3.08,0.37 (0.17-0.80),,true
Italy,LC,DL,1754,2.78,1.40,0.66,3.05,11.03,1.40 (0.66-3.05),,true
Italy,LC,UL,1632,20.38,11.70,3.61,31.45,68.17,11.70 (3.61-31.45),,true
Italy,SC,NU,2819,0.69,0.32,0.14,0.69,2.71,0.32 (0.14-0.69),,true
Italy,SC,DL,1644,2.92,1.73,0.87,3.72,8.99,1.73 (0.87-3.72),,true
Italy,SC,UL,1657,21.74,15.27,10.01,32.20,55.80,15.27 (10.01-32.20),,true
Italy,RA,NU,2450,0.17,0.03,0.02,0.07,0.82,0.03 (0.02-0.07),,true
Italy,RA,DL,1848,4.16,0.66,0.17,2.37,25.58,0.66 (0.17-2.37),,true
Italy,RA,UL,1717,27.87,7.64,1.25,25.15,136.15,7.64 (1.25-25.15),,true
Netherlands,LC,NU,2273,1.42,0.23,0.07,1.34,6.80,0.23 (0.07-1.34),,true
Netherlands,LC,DL,1601,10.17,3.82,1.43,11.04,40.69,3.82 (1.43-11.04),,true
Netherlands,LC,UL,1692,21.92,16.58,7.31,33.08,57.01,16.58 (7.31-33.08),,true
Netherlands,SC,NU,2392,1.30,0.34,0.0,1.11,6.13,0.34 (0.0-1.11),,true
Netherlands,SC,DL,831,4.19,2.35,1.34,4.87,13.27,2.35 (1.34-4.87),,true
Netherlands,SC,UL,1102,26.32,20.77,10.17,34.85,73.22,20.77 (10.17-34.85),,true
Netherlands,RA,NU,1501,0.30,0.07,0.02,0.25,1.44,0.07 (0.02-0.25),,true
Netherlands,RA,DL,527,24.96,6.30,2.38,35.62,100.79,6.30 (2.38-35.62),,true
Netherlands,RA,UL,755,36.21,25.68,10.58,42.83,117.72,25.68 (10.58-42.83),,true
Poland,LC,NU,3381,1.77,0.48,0.11,1.57,7.73,0.48 (0.11-1.57),,true
Poland,LC,DL,2510,3.73,1.26,0.51,3.32,15.50,1.26 (0.51-3.32),,true
Poland,LC,UL,1955,8.66,4.29,1.29,11.66,33.61,4.29 (1.29-11.66),,true
Poland,SC,NU,3009,1.15,0.25,0.05,0.93,5.82,0.25 (0.05-0.93),,true
Poland,SC,DL,2091,2.61,1.35,0.50,3.18,8.87,1.35 (0.50-3.18),,true
Poland,SC,UL,1628,14.57,7.12,2.11,14.67,67.68,7.12 (2.11-14.67),,true
Poland,RA,NU,1602,0.30,0.03,0.01,0.22,1.34,0.03 (0.01-0.22),,true
Poland,RA,DL,1302,0.98,0.50,0.23,1.07,3.76,0.50 (0.23-1.07),,true
Poland,RA,UL,1331,11.35,6.74,2.41,15.70,34.36,6.74 (2.41-15.70),,true
Spain,LC,NU,5401,0.98,0.26,0.11,0.67,3.90,0.26 (0.11-0.67),,true
Spain,LC,DL,3126,4.06,1.01,0.41,3.38,19.88,1.01 (0.41-3.38),,true
Spain,LC,UL,2941,11.74,7.02,2.36,16.08,38.27,7.02 (2.36-16.08),,true
Spain,SC,NU,2902,0.53,0.12,0.06,0.33,1.81,0.12 (0.06-0.33),,true
Spain,SC,DL,1523,3.06,0.87,0.35,1.99,11.19,0.87 (0.35-1.99),,true
Spain,SC,UL,1559,10.50,4.23,0.99,15.62,35.53,4.23 (0.99-15.62),,true
Spain,RA,NU,2110,0.38,0.04,0.02,0.12,1.38,0.04 (0.02-0.12),,true
Spain,RA,DL,,,,,,,Failed measurements,Failed measurements,false
Spain,RA,UL,250,3.46,0.38,0.03,3.91,16.48,0.38 (0.03-3.91),,true
Switzerland,LC,NU,6235,0.37,0.17,0.07,0.41,1.10,0.17 (0.07-0.41),,true
Switzerland,LC,DL,2194,6.67,2.62,0.77,8.09,27.45,2.62 (0.77-8.09),,true
Switzerland,LC,UL,2232,15.11,5.76,0.77,23.52,52.49,5.76 (0.77-23.52),,true
Switzerland,SC,NU,6934,0.37,0.16,0.06,0.41,1.27,0.16 (0.06-0.41),,true
Switzerland,SC,DL,2910,6.78,2.05,0.67,9.62,23.22,2.05 (0.67-9.62),,true
Switzerland,SC,UL,3394,13.37,8.69,3.73,18.16,42.97,8.69 (3.73-18.16),,true
Switzerland,RA,NU,2921,0.16,0.07,0.04,0.15,0.49,0.07 (0.04-0.15),,true
Switzerland,RA,DL,2034,6.88,1.88,0.41,7.75,33.24,1.88 (0.41-7.75),,true
Switzerland,RA,UL,1890,27.90,14.15,4.99,41.01,103.93,14.15 (4.99-41.01),,true
UK,LC,NU,6372,1.31,0.20,0.07,0.86,5.54,0.20 (0.07-0.86),,true
UK,LC,DL,2936,6.23,2.10,0.50,7.33,24.50,2.10 (0.50-7.33),,true
UK,LC,UL,3207,7.90,1.06,0.15,7.92,40.33,1.06 (0.15-7.92),,true
UK,SC,NU,6196,1.07,0.27,0.08,0.84,4.89,0.27 (0.08-0.84),,true
UK,SC,DL,3002,15.63,5.70,1.39,20.44,60.84,5.70 (1.39-20.44),,true
UK,SC,UL,3161,17.51,3.09,0.31,22.60,85.26,3.09 (0.31-22.60),,true
UK,RA,NU,3046,0.41,0.05,0.02,0.22,1.88,0.05 (0.02-0.22),,true
UK,RA,DL,2404,6.53,1.38,0.22,5.62,27.33,1.38 (0.22-5.62),,true
UK,RA,UL,2364,11.05,1.86,0.36,12.41,56.38,1.86 (0.36-12.41),,true
