country,band,scenario,mean_mw_m2,median_mw_m2,iqr_mw_m2,availability_note,available
Poland,Mobile UL 700 MHz,DL,0.00,0.00,0.00,,true
Poland,Mobile UL 700 MHz,UL,0.00,0.00,0.00,,true
Poland,Mobile UL 800 MHz,NU,0.00,0.00,0.00,,true
Poland,Mobile UL 800 MHz,DL,0.13,0.00,0.00,,true
Poland,Mobile UL 800 MHz,UL,0.14,0.00,0.00,,true
Poland,Mobile UL 900 MHz,NU,0.00,0.00,0.00,,true
Poland,Mobile UL 900 MHz,DL,0.03,0.00,0.00,,true
Poland,Mobile UL 900 MHz,UL,0.02,0.00,0.00,,true
Poland,Mobile UL 1.8 GHz,NU,0.01,0.00,0.00,,true
Poland,Mobile UL 1.8 GHz,DL,0.35,0.00,0.11,,true
Poland,Mobile UL 1.8 GHz,UL,2.13,0.00,0.34,,true
Poland,Mobile UL 2.1 GHz,NU,0.00,0.00,0.00,,true
Poland,Mobile UL 2.1 GHz,DL,0.54,0.04,0.40,,true
Poland,Mobile UL 2.1 GHz,UL,2.87,0.30,3.45,,true
Poland,Mobile UL 2.6 GHz,NU,0.00,0.00,0.00,,true
Poland,Mobile UL 2.6 GHz,DL,0.47,0.00,0.00,,true
Poland,Mobile UL 2.6 GHz,UL,4.98,0.00,0.35,,true
Poland,Mobile TDD 2.6 GHz,NU,0.01,0.00,0.00,,true
Poland,Mobile TDD 2.6 GHz,DL,0.01,0.00,0.00,,true
Poland,Mobile TDD 2.6 GHz,UL,0.01,0.00,0.00,,true
Poland,Mobile TDD 3.5 GHz,NU,0.00,0.00,0.00,,true
Poland,Mobile TDD 3.5 GHz,DL,0.00,0.00,0.00,,true
Poland,Mobile TDD 3.5 GHz,UL,0.00,0.00,0.00,,true
Spain,Broadcast,NU,0.07,0.01,0.03,,true
Spain,Broadcast,DL,0.06,0.02,0.03,,true
Spain,Broadcast,UL,0.07,0.01,0.03,,true
Spain,DECT,NU,0.00,0.00,0.00,,true
Spain,DECT,DL,0.00,0.00,0.00,,true
Spain,DECT,UL,0.00,0.00,0.00,,true
Spain,WiFi 5 GHz,NU,0.01,0.01,0.02,,true
Spain,WiFi 5 GHz,DL,0.02,0.02,0.01,,true
Spain,WiFi 5 GHz,UL,0.02,0.02,0.01,,true
Spain,ISM/WiFi 2.4 GHz,NU,0.01,0.00,0.00,,true
Spain,ISM/WiFi 2.4 GHz,DL,0.01,0.00,0.00,,true
Spain,ISM/WiFi 2.4 GHz,UL,0.01,0.00,0.00,,true
Spain,Mobile SDL 700 MHz,NU,0.00,0.00,0.00,,true
Spain,Mobile SDL 700 MHz,DL,0.00,0.00,0.00,,true
Spain,Mobile SDL 700 MHz,UL,0.00,0.00,0.00,,true
Spain,Mobile DL 700 MHz,NU,0.03,0.00,0.01,,true
Spain,Mobile DL 700 MHz,DL,0.04,0.00,0.02,,true
Spain,Mobile DL 700 MHz,UL,0.04,0.00,0.02,,true
Spain,Mobile DL 800 MHz,NU,0.08,0.01,0.03,,true
Spain,Mobile DL 800 MHz,DL,0.09,0.01,0.04,,true
Spain,Mobile DL 800 MHz,UL,0.10,0.01,0.04,,true
Spain,Mobile DL 900 MHz,NU,0.10,0.01,0.03,,true
Spain,Mobile DL 900 MHz,DL,0.15,0.01,0.05,,true
Spain,Mobile DL 900 MHz,UL,0.18,0.01,0.05,,true
Spain,Mobile DL 1.4 GHz,NU,0.00,0.00,0.00,,true
Spain,Mobile DL 1.4 GHz,DL,0.00,0.00,0.00,,true
Spain,Mobile DL 1.4 GHz,UL,0.00,0.00,0.00,,true
Spain,Mobile DL 1.8 GHz,NU,0.16,0.01,0.05,,true
Spain,Mobile DL 1.8 GHz,DL,0.24,0.02,0.09,,true
Spain,Mobile DL 1.8 GHz,UL,0.22,0.02,0.09,,true
Spain,Mobile DL 2.1 GHz,NU,0.09,0.00,0.02,,true
Spain,Mobile DL 2.1 GHz,DL,0.14,0.01,0.04,,true
Spain,Mobile DL 2.1 GHz,UL,0.14,0.01,0.03,,true
Spain,Mobile DL 2.6 GHz,NU,0.04,0.00,0.01,,true
Spain,Mobile DL 2.6 GHz,DL,0.07,0.00,0.02,,true
Spain,Mobile DL 2.6 GHz,UL,0.06,0.00,0.02,,true
Spain,Mobile UL 700 MHz,NU,0.00,0.00,0.00,,true
Spain,Mobile UL 700 MHz,DL,0.00,0.00,0.00,,true
Spain,Mobile UL 700 MHz,UL,0.05,0.00,0.00,,true
Spain,Mobile UL 800 MHz,NU,0.00,0.00,0.00,,true
Spain,Mobile UL 800 MHz,DL,0.02,0.00,0.00,,true
Spain,Mobile UL 800 MHz,UL,0.07,0.00,0.00,,true
Spain,Mobile UL 900 MHz,NU,0.00,0.00,0.00,,true
Spain,Mobile UL 900 MHz,DL,0.02,0.00,0.00,,true
Spain,Mobile UL 900 MHz,UL,0.45,0.00,0.00,,true
Spain,Mobile UL 1.8 GHz,NU,0.02,0.00,0.00,,true
Spain,Mobile UL 1.8 GHz,DL,0.26,0.01,0.19,,true
Spain,Mobile UL 1.8 GHz,UL,2.61,0.29,2.47,,true
Spain,Mobile UL 2.1 GHz,NU,0.02,0.00,0.00,,true
Spain,Mobile UL 2.1 GHz,DL,0.21,0.00,0.00,,true
Spain,Mobile UL 2.1 GHz,UL,2.85,0.00,0.00,,true
Spain,Mobile UL 2.6 GHz,NU,0.01,0.00,0.00,,true
Spain,Mobile UL 2.6 GHz,DL,0.18,0.00,0.00,,true
Spain,Mobile UL 2.6 GHz,UL,2.15,0.00,0.00,,true
Spain,Mobile TDD 2.6 GHz,NU,0.00,0.00,0.00,,true
Spain,Mobile TDD 2.6 GHz,DL,0.00,0.00,0.00,,true
Spain,Mobile TDD 2.6 GHz,UL,0.00,0.00,0.00,,true
Spain,Mobile TDD 3.5 GHz,NU,0.06,0.01,0.01,,true
Spain,Mobile TDD 3.5 GHz,DL,2.21,0.01,0.08,,true
Spain,Mobile TDD 3.5 GHz,UL,1.89,0.01,0.04,,true
Switzerland,Broadcast,NU,0.03,0.01,0.02,,true
Switzerland,Broadcast,DL,0.05,0.01,0.02,,true
Switzerland,Broadcast,UL,0.04,0.01,0.02,,true
Switzerland,DECT,NU,0.00,0.00,0.00,,true
Switzerland,DECT,DL,0.00,0.00,0.00,,true
Switzerland,DECT,UL,0.00,0.00,0.00,,true
Switzerland,WiFi 5 GHz,NU,0.01,0.01,0.01,,true
Switzerland,WiFi 5 GHz,DL,0.01,0.01,0.01,,true
Switzerland,WiFi 5 GHz,UL,0.01,0.01,0.01,,true
Switzerland,ISM/WiFi 2.4 GHz,NU,0.02,0.00,0.01,,true
Switzerland,ISM/WiFi 2.4 GHz,DL,0.01,0.00,0.00,,true
Switzerland,ISM/WiFi 2.4 GHz,UL,0.01,0.00,0.00,,true
Switzerland,Mobile SDL 700 MHz,NU,0.00,0.00,0.00,,true
Switzerland,Mobile SDL 700 MHz,DL,0.01,0.00,0.00,,true
Switzerland,Mobile SDL 700 MHz,UL,0.00,0.00,0.00,,true
Switzerland,Mobile DL 700 MHz,NU,0.01,0.00,0.00,,true
Switzerland,Mobile DL 700 MHz,DL,0.01,0.00,0.00,,true
Switzerland,Mobile DL 700 MHz,UL,0.01,0.00,0.00,,true
Switzerland,Mobile DL 800 MHz,NU,0.04,0.01,0.02,,true
Switzerland,Mobile DL 800 MHz,DL,0.04,0.01,0.03,,true
Switzerland,Mobile DL 800 MHz,UL,0.05,0.01,0.03,,true
Switzerland,Mobile DL 900 MHz,NU,0.03,0.00,0.01,,true
Switzerland,Mobile DL 900 MHz,DL,0.02,0.00,0.01,,true
Switzerland,Mobile DL 900 MHz,UL,0.02,0.00,0.01,,true
Switzerland,Mobile DL 1.4 GHz,NU,0.00,0.00,0.00,,true
Switzerland,Mobile DL 1.4 GHz,DL,0.00,0.00,0.00,,true
Switzerland,Mobile DL 1.4 GHz,UL,0.00,0.00,0.00,,true
Switzerland,Mobile DL 1.8 GHz,NU,0.04,0.01,0.03,,true
Switzerland,Mobile DL 1.8 GHz,DL,0.06,0.01,0.04,,true
Switzerland,Mobile DL 1.8 GHz,UL,0.06,0.01,0.04,,true
Switzerland,Mobile DL 2.1 GHz,NU,0.05,0.01,0.03,,true
Switzerland,Mobile DL 2.1 GHz,DL,0.06,0.01,0.04,,true
Switzerland,Mobile DL 2.1 GHz,UL,0.05,0.01,0.03,,true
Switzerland,Mobile DL 2.6 GHz,NU,0.02,0.00,0.01,,true
Switzerland,Mobile DL 2.6 GHz,DL,0.02,0.00,0.01,,true
Switzerland,Mobile DL 2.6 GHz,UL,0.02,0.00,0.01,,true
Switzerland,Mobile UL 700 MHz,NU,0.00,0.00,0.00,,true
Switzerland,Mobile UL 700 MHz,DL,0.08,0.00,0.00,,true
Switzerland,Mobile UL 700 MHz,UL,0.16,0.00,0.00,,true
Switzerland,Mobile UL 800 MHz,NU,0.01,0.00,0.00,,true
Switzerland,Mobile UL 800 MHz,DL,0.02,0.00,0.00,,true
Switzerland,Mobile UL 800 MHz,UL,0.02,0.00,0.00,,true
Switzerland,Mobile UL 900 MHz,NU,0.00,0.00,0.00,,true
Switzerland,Mobile UL 900 MHz,DL,0.01,0.00,0.00,,true
Switzerland,Mobile UL 900 MHz,UL,0.02,0.00,0.00,,true
Switzerland,Mobile UL 1.8 GHz,NU,0.02,0.00,0.00,,true
Switzerland,Mobile UL 1.8 GHz,DL,0.25,0.00,0.01,,true
Switzerland,Mobile UL 1.8 GHz,UL,1.62,0.00,0.60,,true
Switzerland,Mobile UL 2.1 GHz,NU,0.01,0.00,0.00,,true
Switzerland,Mobile UL 2.1 GHz,DL,0.85,0.00,0.10,,true
Switzerland,Mobile UL 2.1 GHz,UL,10.58,0.08,10.25,,true
Switzerland,Mobile UL 2.6 GHz,NU,0.00,0.00,0.00,,true
Switzerland,Mobile UL 2.6 GHz,DL,0.03,0.00,0.00,,true
Switzerland,Mobile UL 2.6 GHz,UL,0.82,0.00,0.00,,true
Switzerland,Mobile TDD 2.6 GHz,NU,0.00,0.00,0.00,,true
Switzerland,Mobile TDD 2.6 GHz,DL,0.00,0.00,0.00,,true
Switzerland,Mobile TDD 2.6 GHz,UL,0.00,0.00,0.00,,true
Switzerland,Mobile TDD 3.5 GHz,NU,0.04,0.00,0.01,,true
Switzerland,Mobile TDD 3.5 GHz,DL,5.22,0.20,5.97,,true
Switzerland,Mobile TDD 3.5 GHz,UL,4.05,0.00,2.43,,true
UK,Broadcast,NU,0.03,0.01,0.01,,true
UK,Broadcast,DL,0.04,0.01,0.01,,true
UK,Broadcast,UL,0.02,0.01,0.01,,true
UK,DECT,NU,0.00,0.00,0.00,,true
UK,DECT,DL,0.00,0.00,0.00,,true
UK,DECT,UL,0.00,0.00,0.00,,true
UK,WiFi 5 GHz,NU,0.01,0.01,0.01,,true
UK,WiFi 5 GHz,DL,0.01,0.01,0.01,,true
UK,WiFi 5 GHz,UL,0.01,0.01,0.01,,true
UK,ISM/WiFi 2.4 GHz,NU,0.03,0.00,0.01,,true
UK,ISM/WiFi 2.4 GHz,DL,0.03,0.00,0.02,,true
UK,ISM/WiFi 2.4 GHz,UL,0.05,0.00,0.02,,true
UK,Mobile SDL 700 MHz,NU,0.00,0.00,0.00,,true
UK,Mobile SDL 700 MHz,DL,0.00,0.00,0.00,,true
UK,Mobile SDL 700 MHz,UL,0.00,0.00,0.00,,true
UK,Mobile DL 700 MHz,NU,0.01,0.00,0.00,,true
UK,Mobile DL 700 MHz,DL,0.00,0.00,0.00,,true
UK,Mobile DL 700 MHz,UL,0.00,0.00,0.00,,true
UK,Mobile DL 800 MHz,NU,0.11,0.01,0.04,,true
UK,Mobile DL 800 MHz,DL,0.09,0.00,0.02,,true
UK,Mobile DL 800 MHz,UL,0.09,0.00,0.03,,true
UK,Mobile DL 900 MHz,NU,0.12,0.01,0.05,,true
UK,Mobile DL 900 MHz,DL,0.08,0.00,0.02,,true
UK,Mobile DL 900 MHz,UL,0.10,0.00,0.03,,true
UK,Mobile DL 1.4 GHz,NU,0.02,0.00,0.00,,true
UK,Mobile DL 1.4 GHz,DL,0.01,0.00,0.00,,true
UK,Mobile DL 1.4 GHz,UL,0.01,0.00,0.00,,true
UK,Mobile DL 1.8 GHz,NU,0.21,0.01,0.08,,true
UK,Mobile DL 1.8 GHz,DL,0.11,0.00,0.04,,true
UK,Mobile DL 1.8 GHz,UL,0.15,0.01,0.05,,true
UK,Mobile DL 2.1 GHz,NU,0.18,0.01,0.09,,true
UK,Mobile DL 2.1 GHz,DL,0.19,0.00,0.04,,true
UK,Mobile DL 2.1 GHz,UL,0.18,0.01,0.05,,true
UK,Mobile DL 2.6 GHz,NU,0.05,0.00,0.02,,true
UK,Mobile DL 2.6 GHz,DL,0.04,0.00,0.01,,true
UK,Mobile DL 2.6 GHz,UL,0.04,0.00,0.01,,true
UK,Mobile UL 700 MHz,NU,0.00,0.00,0.00,,true
UK,Mobile UL 700 MHz,DL,0.06,0.00,0.00,,true
UK,Mobile UL 700 MHz,UL,0.01,0.00,0.00,,true
UK,Mobile UL 800 MHz,NU,0.01,0.00,0.00,,true
UK,Mobile UL 800 MHz,DL,0.15,0.00,0.01,,true
UK,Mobile UL 800 MHz,UL,0.72,0.00,0.00,,true
UK,Mobile UL 900 MHz,NU,0.02,0.00,0.00,,true
UK,Mobile UL 900 MHz,DL,0.96,0.00,0.00,,true
UK,Mobile UL 900 MHz,UL,0.36,0.00,0.00,,true
UK,Mobile UL 1.8 GHz,NU,0.01,0.00,0.00,,true
UK,Mobile UL 1.8 GHz,DL,0.05,0.00,0.00,,true
UK,Mobile UL 1.8 GHz,UL,0.07,0.00,0.00,,true
UK,Mobile UL 2.1 GHz,NU,0.01,0.00,0.00,,true
UK,Mobile UL 2.1 GHz,DL,1.54,0.01,0.49,,true
UK,Mobile UL 2.1 GHz,UL,7.23,0.00,1.57,,true
UK,Mobile UL 2.6 GHz,NU,0.00,0.00,0.00,,true
UK,Mobile UL 2.6 GHz,DL,0.00,0.00,0.00,,true
UK,Mobile UL 2.6 GHz,UL,0.00,0.00,0.00,,true
UK,Mobile TDD 2.6 GHz,NU,0.00,0.00,0.00,,true
UK,Mobile TDD 2.6 GHz,DL,0.00,0.00,0.00,,true
UK,Mobile TDD 2.6 GHz,UL,0.00,0.00,0.00,,true
UK,Mobile TDD 3.5 GHz,NU,0.21,0.01,0.06,,true
UK,Mobile TDD 3.5 GHz,DL,6.33,0.01,3.14,,true
UK,Mobile TDD 3.5 GHz,UL,3.19,0.01,0.23,,true
