country,band,scenario,mean_mw_m2,median_mw_m2,iqr_mw_m2,availability_note,available
Italy,DECT,UL,0.00,0.00,0.00,,true
Italy,WiFi 5 GHz,NU,0.01,0.01,0.00,,true
Italy,WiFi 5 GHz,DL,0.01,0.01,0.00,,true
Italy,WiFi 5 GHz,UL,0.01,0.01,0.00,,true
Italy,ISM/WiFi 2.4 GHz,NU,0.01,0.00,0.00,,true
Italy,ISM/WiFi 2.4 GHz,DL,0.00,0.00,0.00,,true
Italy,ISM/WiFi 2.4 GHz,UL,0.00,0.00,0.00,,true
Italy,Mobile SDL 700 MHz,NU,0.00,0.00,0.00,,true
Italy,Mobile SDL 700 MHz,DL,0.00,0.00,0.00,,true
Italy,Mobile SDL 700 MHz,UL,0.00,0.00,0.00,,true
Italy,Mobile DL 700 MHz,NU,0.02,0.00,0.00,,true
Italy,Mobile DL 700 MHz,DL,0.01,0.00,0.00,,true
Italy,Mobile DL 700 MHz,UL,0.02,0.00,0.00,,true
Italy,Mobile DL 800 MHz,NU,0.09,0.01,0.05,,true
Italy,Mobile DL 800 MHz,DL,0.08,0.01,0.05,,true
Italy,Mobile DL 800 MHz,UL,0.09,0.02,0.05,,true
Italy,Mobile DL 900 MHz,NU,0.04,0.01,0.03,,true
Italy,Mobile DL 900 MHz,DL,0.03,0.01,0.02,,true
Italy,Mobile DL 900 MHz,UL,0.04,0.01,0.03,,true
Italy,Mobile DL 1.4 GHz,NU,0.01,0.00,0.00,,true
Italy,Mobile DL 1.4 GHz,DL,0.00,0.00,0.00,,true
Italy,Mobile DL 1.4 GHz,UL,0.00,0.00,0.00,,true
Italy,Mobile DL 1.8 GHz,NU,0.11,0.02,0.08,,true
Italy,Mobile DL 1.8 GHz,DL,0.07,0.01,0.06,,true
Italy,Mobile DL 1.8 GHz,UL,0.11,0.02,0.07,,true
Italy,Mobile DL 2.1 GHz,NU,0.08,0.02,0.06,,true
Italy,Mobile DL 2.1 GHz,DL,0.06,0.01,0.05,,true
Italy,Mobile DL 2.1 GHz,UL,0.08,0.02,0.06,,true
Italy,Mobile DL 2.6 GHz,NU,0.06,0.01,0.04,,true
Italy,Mobile DL 2.6 GHz,DL,0.04,0.01,0.03,,true
Italy,Mobile DL 2.6 GHz,UL,0.05,0.01,0.04,,true
Italy,Mobile UL 700 MHz,NU,0.00,0.00,0.00,,true
Italy,Mobile UL 700 MHz,DL,0.00,0.00,0.00,,true
Italy,Mobile UL 700 MHz,UL,0.00,0.00,0.00,,true
Italy,Mobile UL 800 MHz,NU,0.00,0.00,0.00,,true
Italy,Mobile UL 800 MHz,DL,0.17,0.00,0.00,,true
Italy,Mobile UL 800 MHz,UL,0.17,0.00,0.00,,true
Italy,Mobile UL 900 MHz,NU,0.00,0.00,0.00,,true
Italy,Mobile UL 900 MHz,DL,0.01,0.00,0.00,,true
Italy,Mobile UL 900 MHz,UL,0.00,0.00,0.00,,true
Italy,Mobile UL 1.8 GHz,NU,0.01,0.00,0.00,,true
Italy,Mobile UL 1.8 GHz,DL,2.05,0.30,1.54,,true
Italy,Mobile UL 1.8 GHz,UL,14.72,8.62,20.84,,true
Italy,Mobile UL 2.1 GHz,NU,0.01,0.00,0.00,,true
Italy,Mobile UL 2.1 GHz,DL,0.32,0.00,0.00,,true
Italy,Mobile UL 2.1 GHz,UL,0.26,0.00,0.00,,true
Italy,Mobile UL 2.6 GHz,NU,0.01,0.00,0.00,,true
Italy,Mobile UL 2.6 GHz,DL,0.28,0.00,0.00,,true
Italy,Mobile UL 2.6 GHz,UL,7.62,0.00,0.00,,true
Italy,Mobile TDD 2.6 GHz,NU,0.00,0.00,0.00,,true
Italy,Mobile TDD 2.6 GHz,DL,0.00,0.00,0.00,,true
Italy,Mobile TDD 2.6 GHz,UL,0.00,0.00,0.00,,true
Italy,Mobile TDD 3.5 GHz,NU,0.06,0.00,0.02,,true
Italy,Mobile TDD 3.5 GHz,DL,0.04,0.00,0.01,,true
Italy,Mobile TDD 3.5 GHz,UL,0.06,0.00,0.01,,true
Netherlands,Broadcast,NU,0.07,0.01,0.02,,true
Netherlands,Broadcast,DL,0.03,0.01,0.02,,true
Netherlands,Broadcast,UL,0.03,0.01,0.02,,true
Netherlands,DECT,NU,0.00,0.00,0.00,,true
Netherlands,DECT,DL,0.00,0.00,0.00,,true
Netherlands,DECT,UL,0.00,0.00,0.00,,true
Netherlands,WiFi 5 GHz,NU,0.00,0.00,0.00,,true
Netherlands,WiFi 5 GHz,DL,0.00,0.00,0.00,,true
Netherlands,WiFi 5 GHz,UL,0.00,0.00,0.00,,true
Netherlands,ISM/WiFi 2.4 GHz,NU,0.01,0.00,0.00,,true
Netherlands,ISM/WiFi 2.4 GHz,DL,0.00,0.00,0.00,,true
Netherlands,ISM/WiFi 2.4 GHz,UL,0.00,0.00,0.00,,true
Netherlands,Mobile SDL 700 MHz,NU,0.00,0.00,0.00,,true
Netherlands,Mobile SDL 700 MHz,DL,0.00,0.00,0.00,,true
Netherlands,Mobile SDL 700 MHz,UL,0.00,0.00,0.00,,true
Netherlands,Mobile DL 700 MHz,NU,0.08,0.01,0.03,,true
Netherlands,Mobile DL 700 MHz,DL,0.13,0.01,0.06,,true
Netherlands,Mobile DL 700 MHz,UL,0.08,0.01,0.04,,true
Netherlands,Mobile DL 800 MHz,NU,0.17,0.02,0.11,,true
Netherlands,Mobile DL 800 MHz,DL,0.25,0.04,0.19,,true
Netherlands,Mobile DL 800 MHz,UL,0.16,0.03,0.12,,true
Netherlands,Mobile DL 900 MHz,NU,0.16,0.03,0.12,,true
Netherlands,Mobile DL 900 MHz,DL,0.21,0.04,0.18,,true
Netherlands,Mobile DL 900 MHz,UL,0.17,0.03,0.13,,true
Netherlands,Mobile DL 1.4 GHz,NU,0.05,0.00,0.01,,true
Netherlands,Mobile DL 1.4 GHz,DL,0.07,0.00,0.02,,true
Netherlands,Mobile DL 1.4 GHz,UL,0.04,0.00,0.01,,true
Netherlands,Mobile DL 1.8 GHz,NU,0.23,0.03,0.14,,true
Netherlands,Mobile DL 1.8 GHz,DL,0.43,0.06,0.32,,true
Netherlands,Mobile DL 1.8 GHz,UL,0.25,0.03,0.18,,true
Netherlands,Mobile DL 2.1 GHz,NU,0.22,0.03,0.14,,true
Netherlands,Mobile DL 2.1 GHz,DL,0.33,0.04,0.28,,true
Netherlands,Mobile DL 2.1 GHz,UL,0.24,0.03,0.17,,true
Netherlands,Mobile DL 2.6 GHz,NU,0.07,0.00,0.02,,true
Netherlands,Mobile DL 2.6 GHz,DL,0.09,0.01,0.04,,true
Netherlands,Mobile DL 2.6 GHz,UL,0.06,0.00,0.04,,true
Netherlands,Mobile UL 700 MHz,NU,0.00,0.00,0.00,,true
Netherlands,Mobile UL 700 MHz,DL,0.02,0.00,0.00,,true
