scope,site,standpoint,component,category,event_count,transport_contribution,transport_fraction,mean_sab_w_m2,absorbed_power_w,sar_wb_w_kg,body_fraction_sar_wb_w_kg,status
standpoint,korenmarkt,2,non_direct,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,2,non_direct,geometric_no_panorama_evidence,10825,9.988827908222962e-06,0.002680735657245942,0.023666679089245336,0.044315807833238366,0.0006120967932767731,0.0030739571625863753,pass
standpoint,korenmarkt,2,non_direct,geometric_evidence_refused_host_compatibility,93829,0.000285649410408049,0.07666070203509653,0.5844915388962463,1.0944592023327158,0.015116839811225354,0.07591694405818473,pass
standpoint,korenmarkt,2,non_direct,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,2,non_direct,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,2,non_direct,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,3,direct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
standpoint,korenmarkt,3,specular,atlas_interface,11680,0.004306560665090277,0.938062713947257,8.673471506145278,16.24105752496849,0.2243239989636532,0.9349770278975194,pass
standpoint,korenmarkt,3,specular,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,3,specular,geometric_no_panorama_evidence,48,2.4050743465107947e-06,0.0005238775775344959,0.005795300875724717,0.010851688949512172,0.00014988520648497475,0.000624717932689111,pass
standpoint,korenmarkt,3,specular,geometric_evidence_refused_host_compatibility,1392,0.0002819433768298406,0.061413408475208424,0.5974012258282021,1.118632564514476,0.015450726029205468,0.06439825416979143,pass
standpoint,korenmarkt,3,specular,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,3,specular,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,3,specular,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
