record_type,site,look,component,metric,quantile,standpoint,stratum,estimate,sealed_16_estimate,change_from_sealed_16_db,bootstrap_95_low,bootstrap_95_high
pointwise,korenmarkt,24,total,wbsar_m2_per_kg,,7,nonshadowed,0.0650504603076931,0.06505075127901826,-1.9425989868469955e-05,,
pointwise,korenmarkt,24,total,wbsar_m2_per_kg,,8,nonshadowed,0.06864034230430101,0.06863950586957838,5.292240475839929e-05,,
pointwise,korenmarkt,24,total,wbsar_m2_per_kg,,9,nonshadowed,0.0689644415623633,0.0689618554941825,0.00016285728897891282,,
route_quantile,korenmarkt,32,direct,total_transfer_m_inv2,q10,,,0.0008347350724473269,,-1.9286549331065747e-15,0.0008347350724473269,0.0008347350724473269
route_quantile,korenmarkt,32,direct,total_transfer_m_inv2,q50,,,0.0010059615350724652,,0.0,0.0010059615350724652,0.0010059615350724652
route_quantile,korenmarkt,32,direct,total_transfer_m_inv2,q90,,,0.0010778252949060426,,1.928654933106574e-15,0.0010778252949060426,0.0010778252949060426
route_quantile,korenmarkt,32,direct,wbsar_m2_per_kg,q10,,,0.04502505117330415,,-2.8929823996598624e-15,0.04502505117330415,0.04502505117330415
route_quantile,korenmarkt,32,direct,wbsar_m2_per_kg,q50,,,0.04747617670514369,,9.64327466553287e-16,0.04747617670514369,0.04747617670514369
route_quantile,korenmarkt,32,direct,wbsar_m2_per_kg,q90,,,0.05027584881915907,,0.0,0.05027584881915907,0.05027584881915907
route_quantile,korenmarkt,32,all_specular,total_transfer_m_inv2,q10,,,0.00022627637339962288,,-4.821637332766436e-16,0.00022627637339962288,0.00022627637339962288
route_quantile,korenmarkt,32,all_specular,total_transfer_m_inv2,q50,,,0.00027996817796781346,,0.0,0.00027996817796781346,0.00027996817796781346
route_quantile,korenmarkt,32,all_specular,total_transfer_m_inv2,q90,,,0.0003568551933791438,,0.0,0.0003568551933791438,0.0003568551933791438
route_quantile,korenmarkt,32,all_specular,wbsar_m2_per_kg,q10,,,0.011984912612678858,,-3.3751461329365063e-15,0.011984912612678858,0.011984912612678858
